ComfortZone,행동,나이트루틴,자기 전에 내게 굿나잇 인사하기,2
ComfortZone,행동,부끄러운 행동,아무도 보지 않는 곳에서 갑자기 막춤추기,2
ComfortZone,인간관계,절친,가장 친한 친구와 함께 대화하기,3
ComfortZone,인간관계,미지의 대상,한 번도 말 안 걸어본 사람과 대화하기,3
ComfortZone,습관,모닝루틴,평소 기상시간 보다 2시간 일찍 일어나보기,3
ComfortZone,습관,나이트루틴,평소 취침시간 보다 2시간 늦게 자보기,3
ComfortZone,생각,고정관념,살면서 그동안 가졌던 고정관념이 깨졌던 순간은 언제였나요?,3
ComfortZone,행동,낯선 장소,한 번도 안 가본 가게 들어가보기,3
ComfortZone,인간관계,위안을 주는 사람,힘든 시기 나에게 힘이 되었던 사람에게 안부와 감사 인사하기,4
ComfortZone,성격,방어기제,"불쑥 튀어나오는 나의 방어기제가 무엇인지, 왜 나왔는지 고민하고 글로 기록해보기",4
Values,습관,필수품,무인도에 들고갈 세가지 물건은 무엇인가요?,1
Values,습관,필수품,집에 불이 났을 때 가장 먼저 들고 나갈 물건은?,1
Values,생각,미래의 모습,10년 후의 나는 어떤 사람일까?,2
Values,행동,여행,다음에 가고 싶은 여행지 검색하기,2
Values,성격,MBTI,나와 나의 MBTI 궁합보기,2
Values,성격,돈과 명예,돈과 명예 중 하나만 가져갈 수 있다면 어떤 것을 선택할 것인가요?,2
Values,감정,공감 능력,힘든 시간을 보내는 사람을 보면 어떤 감정이 드나요?,3
Values,생각,윤리관,우연히 길을 걷다 1000만원을 줍는다면?,3
Values,생각,윤리관,차 없는 거리에서 무단횡단할 수 있나요?,3
Values,감정,감정,하루 중 나의 가장 감정적인 모습 포착해 기록하기,3
Values,감정,이성,하루 중 나의 가장 이성적 모습 포착해 기록하기,3
Values,생각,롤모델,내가 존경하는 롤모델 사진 보여주고 이유 공유하기,3
Values,행동,인생의 마지막,인생 마지막 날에 하고 싶은 것이 무엇인가요?,3
Values,인간관계,평판,소중한 사람들에게 어떤 사람으로 기억되고 싶은가요?,4
Values,생각,인생 계획,"과거, 현재, 미래의 인생을 그래프로 그려보기",4
Values,생각,결혼관,결혼은 필수라고 생각하나요?,4
Values,생각,만족,지금하고 있는 일에 만족하고 있나요?,4
Values,감정,그리움,돌아가고 싶은 순간이 있다면 언제였나요?,4
